Daily 4 Morning,11,1,2023,3,3,9,4,,8
Daily 4 Morning,11,2,2023,1,8,9,0,,8
Daily 4 Morning,11,3,2023,7,8,5,9,,7
Daily 4 Morning,11,4,2023,5,6,8,3,,0
Daily 4 Morning,11,6,2023,6,8,0,9,,9
Daily 4 Morning,11,7,2023,6,5,5,8,,9
Daily 4 Morning,11,8,2023,6,7,5,6,,1
Daily 4 Morning,11,9,2023,0,6,0,6,,9
Daily 4 Morning,11,10,2023,5,3,8,8,,8
Daily 4 Morning,11,11,2023,1,2,7,1,,5
Daily 4 Morning,11,13,2023,5,5,9,2,,8
Daily 4 Morning,11,14,2023,1,9,8,0,,4
Daily 4 Morning,11,15,2023,1,3,3,9,,4
Daily 4 Morning,11,16,2023,6,4,4,7,,8
Daily 4 Morning,11,17,2023,1,0,1,7,,7
Daily 4 Morning,11,18,2023,3,9,1,1,,6
Daily 4 Morning,11,20,2023,3,2,6,1,,7
Daily 4 Morning,11,21,2023,1,1,8,0,,0
Daily 4 Morning,11,22,2023,4,7,6,9,,9
Daily 4 Morning,11,23,2023,4,7,4,8,,1
Daily 4 Morning,11,24,2023,7,4,7,9,,2
Daily 4 Morning,11,25,2023,5,8,1,7,,3
Daily 4 Morning,11,27,2023,3,9,0,7,,0
Daily 4 Morning,11,28,2023,3,4,3,5,,3
Daily 4 Morning,11,29,2023,4,6,9,0,,3